"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2023","109.02","107.50","109.24","107.01","21.53M","1.23%"
"12/17/2023","107.70","106.16","108.06","105.24","41.24M","2.46%"
"12/10/2023","105.11","104.85","107.21","103.42","63.47M","1.31%"
"12/03/2023","103.75","103.73","106.57","102.65","48.05M","0.28%"
"11/26/2023","103.46","101.91","103.68","99.80","62.54M","1.56%"
"11/19/2023","101.87","100.97","103.63","100.89","23.75M","0.12%"
"11/12/2023","101.75","101.09","103.22","100.58","34.87M","0.36%"
"11/05/2023","101.39","104.08","105.17","100.60","35.72M","-1.92%"
"10/29/2023","103.38","103.28","104.50","101.40","31.66M","0.54%"
"10/22/2023","102.82","102.83","107.22","102.22","42.96M","0.15%"
"10/15/2023","102.67","104.20","105.37","99.14","39.55M","-1.29%"
"10/08/2023","104.01","103.50","105.19","102.78","28.53M","0.13%"
"10/01/2023","103.88","102.83","104.43","100.92","33.03M","0.90%"
"09/24/2023","102.95","106.05","106.55","102.71","29.08M","-3.19%"
"09/17/2023","106.34","107.77","108.40","105.96","25.21M","-1.10%"
"09/10/2023","107.52","109.32","109.67","106.96","32.95M","-1.40%"
"09/03/2023","109.05","109.46","109.72","104.92","29.65M","-0.72%"
"08/27/2023","109.84","110.23","110.79","108.65","28.95M","-0.34%"
"08/20/2023","110.21","109.09","112.02","107.20","33.95M","0.92%"
"08/13/2023","109.20","107.92","110.28","107.31","32.05M","1.64%"
"08/06/2023","107.44","105.29","107.71","104.42","37.32M","2.32%"
"07/30/2023","105.00","106.55","109.60","104.51","41.03M","-1.26%"
"07/23/2023","106.34","109.99","110.34","105.17","36.30M","-3.67%"
"07/16/2023","110.39","107.04","110.61","105.29","37.75M","2.84%"
"07/09/2023","107.34","109.14","110.60","106.26","37.39M","-1.52%"
"07/02/2023","109.00","114.47","114.62","108.76","27.27M","-5.54%"
"06/25/2023","115.39","114.44","115.61","111.43","37.33M","0.69%"
"06/18/2023","114.60","109.08","114.91","109.03","38.89M","4.83%"
"06/11/2023","109.32","110.19","110.99","108.05","44.06M","-1.26%"
"06/04/2023","110.71","113.00","114.48","106.87","39.95M","-1.61%"
"05/28/2023","112.52","110.13","112.73","108.47","35.08M","1.31%"
"05/21/2023","111.07","115.48","117.08","110.65","31.27M","-3.83%"
"05/14/2023","115.49","117.14","117.74","113.33","31.27M","-1.41%"
"05/07/2023","117.14","117.08","118.63","116.38","26.53M","-0.46%"
"04/30/2023","117.68","115.80","119.65","115.27","31.18M","1.91%"
