"Date","Price","Open","High","Low","Vol.","Change %"
"01/22/2023","168.23","169.10","175.00","166.01","39.07M","-0.30%"
"01/15/2023","168.74","174.00","174.58","167.48","28.66M","-2.70%"
"01/08/2023","173.43","179.30","179.76","172.11","29.83M","-3.78%"
"01/01/2023","180.25","176.16","180.93","176.01","28.09M","2.04%"
"12/25/2022","176.65","178.11","178.45","175.40","12.76M","-0.47%"
"12/18/2022","177.48","175.35","178.18","174.07","26.78M","1.03%"
"12/11/2022","175.67","175.95","181.04","174.86","50.04M","-0.04%"
"12/04/2022","175.74","178.36","180.00","175.66","28.13M","-1.76%"
"11/27/2022","178.88","176.75","179.96","174.66","38.28M","0.93%"
"11/20/2022","177.24","175.89","178.12","174.83","18.86M","0.59%"
"11/13/2022","176.20","170.25","176.64","170.25","32.46M","4.11%"
"11/06/2022","169.25","171.67","175.00","166.82","36.87M","-1.30%"
"10/30/2022","171.48","174.52","175.16","168.94","31.79M","-1.94%"
"10/23/2022","174.87","169.81","175.39","168.52","30.11M","3.65%"
"10/16/2022","168.71","165.40","169.37","163.05","41.79M","2.58%"
"10/09/2022","164.46","160.63","165.99","159.18","28.02M","2.66%"
"10/02/2022","160.20","164.29","166.04","159.17","31.69M","-1.93%"
"09/25/2022","163.36","165.80","167.67","163.32","42.08M","-2.02%"
"09/18/2022","166.72","166.30","167.48","162.83","39.60M","-0.53%"
"09/11/2022","167.60","166.11","167.63","160.81","50.02M","1.14%"
"09/04/2022","165.71","163.94","166.21","162.16","23.28M","1.82%"
"08/28/2022","162.74","163.47","166.20","161.27","34.29M","-0.93%"
"08/21/2022","164.27","168.90","168.92","164.20","28.06M","-2.98%"
"08/14/2022","169.31","166.00","170.12","165.13","41.37M","2.43%"
"08/07/2022","165.30","171.30","171.48","165.15","39.70M","-3.40%"
"07/31/2022","171.11","174.17","175.49","169.79","27.15M","-1.95%"
"07/24/2022","174.52","172.12","176.09","171.13","25.58M","1.39%"
"07/17/2022","172.12","177.74","178.19","169.76","38.30M","-3.43%"
"07/10/2022","178.23","177.70","179.02","172.30","24.70M","-0.03%"
"07/03/2022","178.28","178.83","179.99","174.61","20.57M","-0.69%"
"06/26/2022","179.52","181.64","183.35","175.03","38.56M","-1.52%"
"06/19/2022","182.29","170.75","182.53","169.56","38.41M","7.57%"
"06/12/2022","169.46","170.08","172.25","167.26","42.45M","-1.79%"
"06/05/2022","172.55","177.21","179.45","170.62","27.33M","-2.19%"
"05/29/2022","176.42","178.00","180.17","174.59","34.47M","-2.58%"
"05/22/2022","181.09","177.60","181.74","177.46","32.77M","2.32%"
"05/15/2022","176.98","176.85","179.70","172.69","34.27M","0.07%"
"05/08/2022","176.85","175.45","179.18","174.59","36.81M","0.27%"
"05/01/2022","176.37","180.47","181.41","174.69","32.49M","-2.27%"
"04/24/2022","180.46","182.34","186.69","180.20","50.33M","-0.59%"
"04/17/2022","181.54","179.73","185.94","176.74","43.72M","0.91%"
"04/10/2022","179.90","183.00","184.20","178.20","23.72M","-1.22%"
"04/03/2022","182.12","178.19","183.19","175.52","39.17M","2.21%"
"03/27/2022","178.19","176.65","180.21","175.60","35.83M","0.72%"
"03/20/2022","176.92","174.66","177.70","173.91","31.09M","1.19%"
"03/13/2022","174.84","170.68","177.00","170.35","49.17M","3.24%"
"03/06/2022","169.35","168.30","173.12","167.36","41.37M","-0.08%"
"02/27/2022","169.48","162.87","169.86","162.38","38.54M","2.10%"
"02/20/2022","166.00","163.57","166.99","155.72","39.11M","1.62%"
"02/13/2022","163.36","167.71","168.10","162.94","36.73M","-2.59%"
"02/06/2022","167.71","171.41","172.24","167.54","41.23M","-2.28%"
"01/30/2022","171.63","171.50","173.62","169.43","36.23M","-0.09%"
"01/23/2022","171.79","164.00","171.91","158.26","56.98M","4.20%"
"01/16/2022","164.87","167.10","168.72","164.47","30.30M","-1.77%"
"01/09/2022","167.84","173.69","173.69","167.15","36.16M","-3.51%"
"01/02/2022","173.95","170.21","174.30","169.10","34.06M","1.68%"
"12/26/2021","171.07","169.14","172.88","168.70","19.20M","1.68%"
"12/19/2021","168.25","167.81","168.95","165.98","23.59M","0.01%"
"12/12/2021","168.23","164.75","173.51","163.80","55.91M","1.66%"
"12/05/2021","165.49","160.19","166.69","159.83","39.37M","3.83%"
"11/28/2021","159.38","159.50","160.42","155.85","54.09M","0.11%"
"11/21/2021","159.20","161.03","162.64","158.66","29.13M","-2.27%"
"11/14/2021","162.89","165.00","165.46","161.78","34.49M","-1.28%"
"11/07/2021","165.01","163.68","167.62","162.01","41.03M","0.97%"
"10/31/2021","163.43","163.16","166.98","159.40","35.46M","0.34%"
"10/24/2021","162.88","163.72","166.03","160.61","35.48M","-0.51%"
"10/17/2021","163.72","160.25","165.15","159.20","32.38M","1.50%"
"10/10/2021","161.30","160.86","161.85","157.34","29.19M","0.23%"
"10/03/2021","160.93","159.99","162.61","157.67","30.72M","0.29%"
"09/26/2021","160.47","164.00","165.40","158.62","34.05M","-2.37%"
"09/19/2021","164.36","163.48","165.98","162.16","28.69M","-0.24%"
"09/12/2021","164.75","167.92","168.12","163.55","38.56M","-1.33%"
"09/05/2021","166.97","174.35","175.03","166.87","25.34M","-4.61%"
"08/29/2021","175.04","172.79","175.22","172.06","24.33M","1.22%"
"08/22/2021","172.93","178.39","178.93","172.75","29.97M","-3.63%"
"08/15/2021","179.44","176.55","179.92","175.95","29.00M","1.81%"
"08/08/2021","176.25","173.72","176.29","172.78","22.03M","1.81%"
"08/01/2021","173.11","172.47","174.59","171.30","23.42M","0.53%"
"07/25/2021","172.20","171.82","173.38","170.67","26.89M","0.24%"
"07/18/2021","171.79","166.48","172.18","165.32","36.01M","2.20%"
"07/11/2021","168.10","169.73","171.18","167.72","31.19M","-0.97%"
"07/04/2021","169.75","167.91","170.37","166.99","24.27M","0.46%"
"06/27/2021","168.98","164.44","169.30","163.41","30.89M","2.90%"
"06/20/2021","164.21","162.77","164.78","162.25","32.23M","1.38%"
"06/13/2021","161.98","164.50","165.86","161.79","35.85M","-1.81%"
"06/06/2021","164.96","166.00","167.57","162.07","32.52M","-0.61%"
"05/30/2021","165.97","170.15","170.20","165.11","29.57M","-1.94%"
"05/23/2021","169.25","170.90","171.35","168.28","32.88M","-1.00%"
"05/16/2021","170.96","170.40","172.74","168.04","28.46M","0.43%"
"05/09/2021","170.22","169.90","171.61","166.97","37.15M","1.02%"
"05/02/2021","168.50","163.60","169.18","163.12","35.41M","3.55%"
"04/25/2021","162.73","165.21","165.41","161.65","35.17M","-1.69%"
