"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2023","453.65","444.64","456.13","443.25","16.11M","2.54%"
"08/20/2023","442.41","439.84","447.55","437.34","18.73M","0.85%"
"08/13/2023","438.69","447.03","450.51","435.29","17.46M","-2.09%"
"08/06/2023","448.04","451.10","454.10","445.70","16.88M","-0.23%"
"07/30/2023","449.09","459.85","460.58","448.65","18.60M","-2.21%"
"07/23/2023","459.22","455.78","461.88","453.95","19.88M","1.02%"
"07/16/2023","454.60","451.47","458.82","451.45","28.29M","0.65%"
"07/09/2023","451.65","440.48","453.75","439.88","19.63M","2.46%"
"07/02/2023","440.80","445.23","446.43","439.35","14.84M","-1.10%"
"06/25/2023","445.71","434.89","446.61","433.44","22.16M","2.35%"
"06/18/2023","435.46","439.71","441.53","434.75","13.74M","-1.40%"
"06/11/2023","441.63","431.49","445.48","430.77","28.10M","2.58%"
"06/04/2023","430.54","430.22","432.60","426.43","19.85M","0.17%"
"05/28/2023","429.79","423.91","430.67","418.07","16.03M","1.86%"
"05/21/2023","421.95","420.51","422.63","411.67","18.95M","0.36%"
"05/14/2023","420.44","414.11","422.59","412.01","15.46M","1.70%"
"05/07/2023","413.41","414.78","416.34","410.67","13.51M","-0.21%"
"04/30/2023","414.30","417.29","419.42","405.54","18.34M","-0.80%"
"04/23/2023","417.66","413.75","417.74","405.54","20.75M","0.91%"
"04/16/2023","413.89","414.14","417.52","412.00","14.74M","-0.09%"
"04/09/2023","414.25","408.37","416.89","407.76","17.51M","0.79%"
"04/02/2023","411.01","410.71","413.69","407.44","14.63M","-0.02%"
"03/26/2023","411.08","399.93","411.44","395.40","19.59M","3.43%"
"03/19/2023","397.45","394.14","405.87","391.09","27.53M","1.09%"
"03/12/2023","393.17","383.50","398.25","382.37","32.45M","1.36%"
"03/05/2023","387.88","407.06","409.38","386.11","23.04M","-4.48%"
"02/26/2023","406.08","401.74","406.34","394.20","22.24M","2.00%"
"02/19/2023","398.11","404.92","406.00","395.48","19.45M","-2.70%"
"02/12/2023","409.14","410.67","417.00","405.95","16.34M","-0.20%"
"02/05/2023","409.96","411.74","418.43","406.93","17.07M","-1.06%"
"01/29/2023","414.35","404.66","420.25","402.20","24.04M","1.64%"
"01/22/2023","407.65","398.55","410.07","395.42","21.10M","2.50%"
"01/15/2023","397.70","400.37","402.07","389.08","13.50M","-0.67%"
"01/08/2023","400.37","392.17","400.92","388.04","20.58M","2.70%"
"01/01/2023","389.83","386.12","391.03","379.60","19.43M","1.46%"
"12/25/2022","384.21","384.55","386.06","378.15","19.64M","-0.10%"
"12/18/2022","384.59","385.26","389.16","376.49","22.36M","-0.09%"
"12/11/2022","384.94","395.87","410.44","382.79","32.83M","-2.55%"
"12/04/2022","395.01","405.73","406.72","393.31","18.48M","-3.35%"
"11/27/2022","408.71","400.83","411.94","395.00","22.49M","1.14%"
"11/20/2022","404.09","396.38","404.69","394.39","9.09M","1.59%"
"11/13/2022","397.78","398.36","404.03","391.81","22.18M","-0.60%"
"11/06/2022","400.17","379.27","401.06","375.18","24.29M","5.91%"
"10/30/2022","377.84","388.03","392.00","370.31","28.52M","-3.25%"
"10/23/2022","390.53","377.47","391.15","374.65","22.72M","3.92%"
"10/16/2022","375.81","365.50","376.96","365.10","24.76M","4.66%"
"10/09/2022","359.09","365.47","371.73","349.53","26.67M","-1.44%"
"10/02/2022","364.33","362.55","381.00","360.67","24.20M","1.58%"
"09/25/2022","358.65","367.94","373.80","358.53","37.54M","-3.44%"
"09/18/2022","371.42","385.80","392.93","366.70","28.13M","-4.54%"
"09/11/2022","389.10","410.96","413.94","385.69","21.45M","-4.81%"
"09/04/2022","408.76","395.25","409.67","390.45","18.09M","3.67%"
"08/28/2022","394.28","404.32","407.96","392.06","25.67M","-3.19%"
"08/21/2022","407.28","419.28","422.16","407.28","20.52M","-4.02%"
"08/14/2022","424.36","427.13","434.03","423.47","17.03M","-1.14%"
"08/07/2022","429.25","417.50","429.48","412.38","20.04M","3.29%"
"07/31/2022","415.59","411.34","417.90","408.95","19.34M","0.32%"
"07/24/2022","414.28","397.82","415.20","391.98","22.67M","4.29%"
"07/17/2022","397.24","390.36","402.24","382.65","27.72M","2.61%"
"07/10/2022","387.13","387.85","388.85","372.97","21.02M","-0.91%"
"07/03/2022","390.68","377.87","392.64","374.83","18.62M","1.98%"
"06/26/2022","383.09","393.04","395.14","374.52","29.98M","-2.27%"
"06/19/2022","392.00","373.74","392.08","372.09","24.34M","6.62%"
"06/12/2022","367.66","380.17","384.24","364.03","58.48M","-5.76%"
"06/05/2022","390.13","416.69","418.41","390.09","23.68M","-5.40%"
"05/29/2022","412.38","415.36","419.29","408.75","20.85M","-1.17%"
"05/22/2022","417.25","394.57","417.25","388.63","24.32M","6.63%"
"05/15/2022","391.30","401.69","410.33","382.17","31.01M","-3.00%"
"05/08/2022","403.41","406.80","408.09","386.78","40.47M","-2.37%"
"05/01/2022","413.21","413.62","431.50","406.80","46.74M","-0.08%"
"04/24/2022","413.56","425.46","431.48","412.98","41.60M","-3.32%"
"04/17/2022","427.78","438.71","451.97","427.30","27.30M","-2.71%"
"04/10/2022","439.70","446.02","447.65","438.56","21.93M","-2.18%"
"04/03/2022","449.51","455.18","459.79","445.42","24.79M","-1.16%"
"03/27/2022","454.79","453.95","464.05","451.08","27.50M","0.03%"
"03/20/2022","454.64","447.72","454.95","444.02","26.99M","1.55%"
"03/13/2022","447.70","422.90","448.24","417.60","36.56M","6.09%"
"03/06/2022","422.01","433.44","433.69","416.91","50.64M","-2.75%"
"02/27/2022","433.95","433.93","443.03","429.09","52.42M","-1.29%"
"02/20/2022","439.61","433.75","439.77","412.40","50.20M","0.81%"
"02/13/2022","436.07","441.88","450.01","433.72","35.78M","-1.42%"
"02/06/2022","442.35","451.51","459.81","440.88","35.37M","-1.89%"
"01/30/2022","450.85","443.11","460.14","441.77","41.00M","1.60%"
"01/23/2022","443.75","433.95","446.07","422.56","78.47M","0.86%"
"01/16/2022","439.98","461.70","461.94","439.87","38.84M","-5.74%"
"01/09/2022","466.75","464.69","475.26","458.59","40.47M","-0.29%"
"01/02/2022","468.10","478.38","482.07","466.67","31.86M","-1.86%"
"12/26/2021","476.99","474.08","481.09","474.08","19.72M","0.92%"
"12/19/2021","472.63","456.46","474.23","453.10","22.54M","2.28%"
"12/12/2021","462.11","470.66","473.28","460.06","42.58M","-2.25%"
"12/05/2021","472.74","458.01","472.81","455.38","29.38M","3.87%"
"11/28/2021","455.14","465.91","468.42","450.74","43.17M","-1.19%"
"11/21/2021","460.62","472.73","475.50","459.60","24.70M","-2.17%"
"11/14/2021","470.82","470.59","472.82","468.12","18.01M","0.35%"
"11/07/2021","469.16","471.57","472.10","463.88","16.88M","-0.26%"
"10/31/2021","470.40","462.13","472.54","460.02","16.51M","2.04%"
"10/24/2021","460.99","456.07","461.39","454.17","13.76M","1.34%"
"10/17/2021","454.88","445.72","456.46","445.00","16.79M","1.61%"
"10/10/2021","447.68","438.86","448.00","433.23","20.47M","1.83%"
"10/03/2021","439.62","434.69","443.39","428.01","24.94M","0.84%"
"09/26/2021","435.95","444.54","445.77","428.93","29.43M","-2.20%"
"09/19/2021","445.74","438.26","448.29","432.17","28.94M","0.23%"
"09/12/2021","444.73","450.68","450.93","444.42","19.14M","-0.63%"
"09/05/2021","447.54","454.75","454.83","447.30","13.39M","-1.65%"
"08/29/2021","455.07","453.05","456.08","452.72","14.82M","0.64%"
"08/22/2021","452.19","447.12","452.65","447.11","17.90M","1.54%"
"08/15/2021","445.31","446.56","449.07","438.03","25.08M","-0.57%"
"08/08/2021","447.85","444.42","447.88","443.24","15.29M","0.77%"
"08/01/2021","444.42","442.28","444.87","438.01","15.21M","0.91%"
"07/25/2021","440.40","441.27","443.72","437.89","18.17M","-0.31%"
"07/18/2021","441.76","428.04","442.20","423.81","31.32M","1.96%"
"07/11/2021","433.27","437.31","439.81","432.80","21.39M","-0.95%"
"07/04/2021","437.41","435.67","437.70","429.39","20.17M","0.41%"
"06/27/2021","435.64","429.04","435.98","427.72","21.80M","1.68%"
"06/20/2021","428.44","418.62","428.91","417.73","20.29M","2.80%"
"06/13/2021","416.77","424.92","425.94","416.48","23.09M","-1.88%"
"06/06/2021","424.74","424.25","425.04","421.98","16.82M","0.12%"
"05/30/2021","424.24","424.24","424.56","417.90","12.14M","0.61%"
"05/23/2021","421.65","418.93","422.89","418.69","16.97M","1.22%"
"05/16/2021","416.58","416.99","419.81","406.89","19.92M","-0.38%"
"05/09/2021","418.17","424.15","424.34","406.34","33.11M","-1.31%"
"05/02/2021","423.73","421.02","424.43","413.26","25.92M","1.16%"
"04/25/2021","418.88","419.04","422.28","417.93","22.37M","0.14%"
"04/18/2021","418.31","417.80","419.84","412.18","25.31M","-0.14%"
"04/11/2021","418.89","412.36","419.48","411.76","22.78M","1.43%"
"04/04/2021","412.98","404.99","413.20","404.91","19.42M","2.71%"
"03/28/2021","402.08","395.86","402.20","394.27","19.95M","1.16%"
"03/21/2021","397.45","392.82","397.89","385.34","25.44M","1.34%"
"03/14/2021","392.20","395.84","399.65","389.92","21.48M","-0.86%"
"03/07/2021","395.61","386.08","397.14","382.83","17.11M","2.74%"
"02/28/2021","385.07","387.18","392.38","373.26","27.89M","0.86%"
"02/21/2021","381.77","388.50","393.67","379.61","23.37M","-2.49%"
"02/14/2021","391.51","395.49","395.65","389.21","10.70M","-0.68%"
"02/07/2021","394.18","390.74","394.38","386.33","15.67M","1.30%"
"01/31/2021","389.12","375.17","389.89","372.70","15.83M","4.74%"
"01/24/2021","371.52","385.12","387.20","369.65","22.38M","-3.33%"
"01/17/2021","384.31","379.73","386.38","378.15","17.83M","1.91%"
"01/10/2021","377.10","379.23","382.53","375.08","27.81M","-1.45%"
"01/03/2021","382.64","376.69","382.86","366.16","25.21M","1.93%"
"12/27/2020","375.39","373.15","376.04","372.20","15.18M","1.37%"
"12/20/2020","370.31","366.30","370.95","363.38","13.94M","-0.05%"
"12/13/2020","370.49","368.44","372.48","364.21","30.97M","0.78%"
"12/06/2020","367.62","370.43","372.42","364.61","18.06M","-0.96%"
"11/29/2020","371.19","364.18","371.20","360.50","19.09M","1.70%"
"11/22/2020","364.98","358.65","365.52","356.17","11.67M","2.34%"
"11/15/2020","356.63","362.34","363.87","355.49","15.19M","-0.75%"
"11/08/2020","359.34","365.29","365.69","351.87","23.25M","2.25%"
"11/01/2020","351.44","331.38","353.45","328.38","27.49M","7.27%"
"10/25/2020","327.62","343.32","344.19","323.72","27.45M","-5.57%"
"10/18/2020","346.96","349.88","350.52","341.88","13.74M","-0.43%"
"10/11/2020","348.45","350.78","355.25","344.31","13.13M","0.13%"
"10/04/2020","348.01","337.21","348.54","335.56","17.81M","3.87%"
"09/27/2020","335.05","334.36","339.87","332.39","18.18M","1.57%"
"09/20/2020","329.88","328.42","333.57","320.92","21.82M","-1.04%"
"09/13/2020","333.34","338.86","344.47","330.64","14.14M","-0.61%"
"09/06/2020","335.38","338.05","343.91","332.35","18.93M","-2.50%"
"08/30/2020","343.98","351.81","360.26","336.26","26.19M","-2.28%"
"08/23/2020","352.00","343.52","352.19","342.45","16.05M","3.27%"
"08/16/2020","340.85","339.32","341.05","336.59","9.06M","0.79%"
"08/09/2020","338.19","336.42","339.64","333.38","13.09M","0.67%"
"08/02/2020","335.95","329.66","336.18","329.06","15.20M","2.48%"
"07/26/2020","327.82","322.89","327.89","320.90","16.26M","1.77%"
"07/19/2020","322.13","322.69","330.06","320.55","15.09M","-0.27%"
"07/12/2020","322.99","321.35","324.32","313.24","20.77M","1.28%"
"07/05/2020","318.90","317.67","319.14","311.89","17.07M","1.74%"
"06/28/2020","313.45","302.56","316.91","300.11","17.06M","4.09%"
"06/21/2020","301.14","309.17","315.75","300.62","24.44M","-2.77%"
"06/14/2020","309.72","297.79","315.60","296.49","22.90M","1.43%"
"06/07/2020","305.36","321.23","324.55","299.62","29.91M","-4.72%"
"05/31/2020","320.48","304.64","322.45","304.10","28.71M","5.01%"
"05/24/2020","305.18","302.99","307.91","297.91","27.08M","2.96%"
"05/17/2020","296.41","294.09","298.87","292.92","22.80M","3.22%"
"05/10/2020","287.16","291.21","295.17","275.00","35.31M","-2.15%"
"05/03/2020","293.46","281.55","293.87","280.10","22.26M","3.50%"
"04/26/2020","283.53","286.03","295.84","282.44","36.93M","-0.13%"
"04/19/2020","283.90","283.51","287.21","272.92","33.90M","-1.28%"
"04/12/2020","287.58","278.00","288.22","272.29","36.03M","3.03%"
"04/05/2020","279.12","258.63","282.07","257.54","38.82M","12.09%"
"03/29/2020","249.02","256.53","264.10","244.62","46.71M","-2.05%"
"03/22/2020","254.24","230.23","263.63","220.28","64.29M","9.98%"
"03/15/2020","231.16","242.47","257.82","228.78","89.10M","-14.87%"
"03/08/2020","271.55","277.20","289.74","248.56","86.27M","-9.09%"
"03/01/2020","298.70","299.34","315.15","291.42","48.28M","0.94%"
"02/23/2020","295.91","324.61","327.28","286.70","62.14M","-11.67%"
"02/16/2020","335.01","338.05","340.63","334.10","14.14M","-1.20%"
"02/09/2020","339.07","332.71","339.68","332.71","29.36M","1.59%"
"02/02/2020","333.75","324.81","335.68","324.73","19.99M","3.25%"
"01/26/2020","323.24","324.45","330.08","322.18","25.93M","-2.12%"
"01/19/2020","330.23","332.38","334.44","328.84","22.32M","-0.98%"
"01/12/2020","333.50","327.87","333.65","327.36","22.78M","1.94%"
"01/05/2020","327.14","321.89","328.90","321.78","18.31M","1.03%"
"12/29/2019","323.81","324.41","326.32","321.57","15.00M","-0.14%"
"12/22/2019","324.26","322.97","325.19","322.30","15.18M","0.58%"
"12/15/2019","322.38","319.00","323.35","318.99","23.92M","1.17%"
"12/08/2019","318.64","315.77","320.08","314.18","20.42M","0.77%"
"12/01/2019","316.21","316.00","316.71","308.46","16.08M","0.18%"
"11/24/2019","315.63","313.32","316.85","313.32","10.49M","1.06%"
"11/17/2019","312.31","312.87","314.04","310.38","15.18M","-0.28%"
"11/10/2019","313.18","308.78","313.18","308.58","13.17M","0.95%"
"11/03/2019","310.24","309.21","310.75","307.35","14.99M","0.88%"
"10/27/2019","307.53","304.13","307.53","303.04","19.05M","1.53%"
"10/20/2019","302.89","300.68","303.48","299.78","14.59M","1.24%"
"10/13/2019","299.19","297.17","301.50","296.83","12.64M","0.57%"
"10/06/2019","297.48","294.74","299.98","289.71","17.76M","0.63%"
"09/29/2019","295.61","297.20","299.71","286.03","24.81M","-0.33%"
"09/22/2019","296.59","300.28","301.70","294.94","20.85M","-1.40%"
"09/15/2019","300.81","301.16","303.98","299.60","20.23M","-0.54%"
"09/08/2019","302.46","300.52","303.83","297.30","17.18M","1.01%"
"09/01/2019","299.42","291.86","300.19","290.55","15.11M","1.89%"
"08/25/2019","293.87","288.51","295.55","286.50","18.27M","2.72%"
"08/18/2019","286.08","293.46","295.23","284.71","19.11M","-1.41%"
"08/11/2019","290.18","291.18","295.43","283.63","21.93M","-0.95%"
"08/04/2019","292.96","289.37","294.88","282.95","27.88M","-0.36%"
"07/28/2019","294.02","303.21","303.26","292.19","33.20M","-3.08%"
"07/21/2019","303.35","298.92","303.56","298.36","13.55M","1.63%"
"07/14/2019","298.49","302.45","302.48","298.01","16.66M","-1.19%"
"07/07/2019","302.08","298.30","302.08","296.78","16.49M","0.80%"
"06/30/2019","299.69","297.96","300.11","295.61","11.77M","1.82%"
"06/23/2019","294.35","295.49","295.86","291.62","19.21M","-0.28%"
"06/16/2019","295.17","289.35","296.79","289.01","22.78M","1.48%"
"06/09/2019","290.85","290.96","293.02","289.43","13.40M","0.55%"
"06/02/2019","289.27","276.77","290.43","274.52","21.34M","4.46%"
"05/26/2019","276.92","284.63","285.68","276.73","18.37M","-2.62%"
"05/19/2019","284.37","285.66","288.46","282.08","15.53M","-1.09%"
"05/12/2019","287.51","283.92","290.77","281.45","19.92M","-0.72%"
"05/05/2019","289.60","290.82","294.88","283.82","22.48M","-2.03%"
"04/28/2019","295.60","295.11","296.52","291.09","16.93M","0.18%"
"04/21/2019","295.07","290.73","295.10","290.64","14.02M","1.19%"
"04/14/2019","291.60","291.84","292.99","290.22","15.59M","-0.05%"
"04/07/2019","291.76","289.63","292.04","288.26","14.46M","0.59%"
"03/31/2019","290.05","286.25","290.16","285.96","22.12M","2.07%"
"03/24/2019","284.17","280.39","284.35","279.15","19.10M","1.21%"
"03/17/2019","280.78","284.18","287.00","280.69","24.46M","-1.10%"
"03/10/2019","283.89","276.58","284.82","276.56","14.27M","2.93%"
"03/03/2019","275.82","282.98","283.18","273.72","20.60M","-2.16%"
"02/24/2019","281.92","282.07","282.67","278.82","21.23M","0.53%"
"02/17/2019","280.44","277.83","280.70","277.66","18.20M","0.60%"
"02/10/2019","278.78","272.47","278.78","271.33","22.05M","2.58%"
"02/03/2019","271.76","271.40","274.70","269.10","20.56M","0.16%"
"01/27/2019","271.33","264.64","272.47","262.99","24.42M","1.57%"
"01/20/2019","267.13","266.01","267.90","261.90","19.82M","-0.21%"
"01/13/2019","267.70","258.05","268.20","257.60","23.32M","2.96%"
"01/06/2019","260.01","253.89","260.34","252.86","24.84M","2.48%"
"12/30/2018","253.71","250.70","254.24","244.74","28.36M","1.90%"
"12/23/2018","248.99","240.47","252.53","235.14","43.12M","2.88%"
"12/16/2018","242.02","259.62","260.75","241.39","60.70M","-7.64%"
"12/09/2018","262.04","264.98","270.57","260.15","28.22M","-1.21%"
"12/02/2018","265.24","282.04","282.19","264.00","27.24M","-4.46%"
"11/25/2018","277.62","267.39","278.00","266.94","25.74M","4.78%"
"11/18/2018","264.95","274.73","274.99","264.66","15.74M","-3.78%"
"11/11/2018","275.36","278.87","279.12","268.59","23.77M","-1.51%"
"11/04/2018","279.58","274.20","282.94","273.02","28.69M","2.22%"
"10/28/2018","273.52","270.47","276.87","261.49","29.69M","2.55%"
"10/21/2018","266.73","278.68","279.03","263.88","26.35M","-4.02%"
"10/14/2018","277.89","277.21","282.84","275.99","22.04M","0.09%"
"10/07/2018","277.65","288.77","290.61","272.03","37.33M","-4.10%"
"09/30/2018","289.53","293.90","295.00","287.97","18.06M","-0.96%"
"09/23/2018","292.33","294.39","294.67","291.18","18.64M","-0.89%"
"09/16/2018","294.96","292.51","296.28","290.72","15.25M","0.84%"
"09/09/2018","292.51","290.42","292.96","288.63","12.85M","1.14%"
"09/02/2018","289.20","291.54","291.89","288.37","20.30M","-0.97%"
"08/26/2018","292.04","290.50","293.43","290.33","19.77M","1.01%"
"08/19/2018","289.12","287.21","289.32","286.68","12.42M","0.86%"
"08/12/2018","286.65","285.08","287.20","281.76","16.76M","0.69%"
"08/05/2018","284.68","285.16","287.63","283.97","17.23M","-0.17%"
"07/29/2018","285.16","283.08","285.26","280.74","15.78M","0.77%"
"07/22/2018","282.97","281.01","285.99","280.60","14.33M","0.62%"
"07/15/2018","281.23","281.21","282.76","279.98","16.24M","0.07%"
"07/08/2018","281.04","278.07","281.50","278.04","18.55M","1.52%"
"07/01/2018","276.83","270.99","277.36","270.73","11.50M","1.52%"
"06/24/2018","272.68","276.22","276.38","269.95","27.41M","-1.74%"
"06/17/2018","277.51","278.30","279.53","276.31","14.76M","-0.86%"
"06/10/2018","279.93","279.96","281.05","278.17","17.76M","0.10%"
"06/03/2018","279.66","276.02","279.86","275.72","16.96M","1.64%"
"05/27/2018","275.15","271.79","275.47","269.25","15.96M","0.57%"
"05/20/2018","273.60","274.48","275.79","272.30","12.51M","0.28%"
"05/13/2018","272.84","274.84","275.56","271.54","12.32M","-0.46%"
"05/06/2018","274.09","268.38","274.66","266.60","14.92M","2.48%"
"04/29/2018","267.45","268.70","269.33","260.45","15.69M","-0.21%"
"04/22/2018","268.02","268.79","269.43","262.31","17.55M","-0.02%"
"04/15/2018","268.07","268.43","272.77","267.08","14.43M","0.55%"
"04/08/2018","266.60","262.87","268.99","261.95","17.57M","2.06%"
"04/01/2018","261.21","264.01","268.05","256.08","25.24M","-1.43%"
"03/25/2018","265.01","263.71","268.22","260.00","22.91M","2.14%"
"03/18/2018","259.47","276.11","276.12","259.25","25.28M","-6.30%"
"03/11/2018","276.92","280.93","282.11","276.09","25.27M","-1.26%"
"03/04/2018","280.44","269.34","280.54","269.22","21.65M","3.55%"
"02/25/2018","270.83","277.58","280.65","266.40","28.03M","-1.99%"
"02/18/2018","276.34","273.66","276.36","271.26","25.91M","0.59%"
"02/11/2018","274.71","265.31","276.98","263.46","27.59M","4.33%"
"02/04/2018","263.31","275.07","277.48","254.42","64.75M","-4.99%"
"01/28/2018","277.15","287.72","288.15","277.06","30.72M","-3.85%"
"01/21/2018","288.26","281.82","288.29","281.80","20.57M","2.18%"
"01/14/2018","282.10","281.01","282.10","277.82","18.98M","0.92%"
"01/07/2018","279.53","274.99","279.77","274.56","17.61M","1.67%"
"12/31/2017","274.95","269.47","275.18","269.00","19.86M","2.41%"
"12/24/2017","268.48","268.67","270.13","268.22","12.10M","-0.23%"
"12/17/2017","269.09","270.94","271.47","268.30","22.31M","-0.12%"
"12/10/2017","269.42","267.01","269.88","266.97","23.88M","0.93%"
"12/03/2017","266.93","267.76","268.28","264.17","18.00M","0.39%"
"11/26/2017","265.90","261.82","267.50","261.43","20.41M","1.59%"
"11/19/2017","261.73","259.55","261.91","259.25","10.44M","0.95%"
"11/12/2017","259.27","258.71","260.46","257.03","15.65M","-0.07%"
"11/05/2017","259.45","259.68","260.76","257.76","17.50M","-0.14%"
"10/29/2017","259.82","258.47","259.89","257.59","16.24M","0.30%"
"10/22/2017","259.05","258.86","259.28","255.37","18.90M","0.21%"
"10/15/2017","258.50","256.57","258.53","255.73","11.35M","0.87%"
"10/08/2017","256.28","255.99","256.66","255.02","14.40M","0.20%"
"10/01/2017","255.76","252.84","256.07","252.76","21.19M","1.26%"
"09/24/2017","252.58","251.75","252.67","250.15","20.83M","0.22%"
"09/17/2017","252.02","252.23","252.81","251.56","16.18M","0.09%"
"09/10/2017","251.79","249.41","251.89","249.39","13.50M","1.59%"
"09/03/2017","247.85","248.57","248.85","246.28","15.73M","-0.55%"
"08/27/2017","249.23","246.47","249.69","244.24","18.21M","1.38%"
"08/20/2017","245.84","243.92","246.94","243.12","13.70M","0.79%"
"08/13/2017","243.92","246.91","248.90","243.50","17.84M","-0.59%"
"08/06/2017","245.38","248.83","250.26","245.02","13.14M","-1.34%"
"07/30/2017","248.72","248.70","249.13","247.71","13.02M","0.20%"
"07/23/2017","248.22","248.11","249.34","247.00","17.58M","0.00%"
"07/16/2017","248.21","246.79","248.76","245.98","13.40M","0.59%"
"07/09/2017","246.76","243.24","247.29","242.15","14.05M","1.39%"
"07/02/2017","243.38","244.17","244.67","241.63","14.02M","0.12%"
"06/25/2017","243.08","246.32","246.80","241.25","19.75M","-0.99%"
