"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2022","62.75","63.30","64.70","62.33","87.84M","-0.62%"
"12/04/2022","63.14","63.41","63.88","63.09","55.45M","-1.88%"
"11/27/2022","64.35","62.69","64.52","61.75","79.32M","2.65%"
"11/20/2022","62.69","61.41","62.81","61.20","41.87M","2.54%"
"11/13/2022","61.14","61.32","61.72","60.00","65.49M","-0.29%"
"11/06/2022","61.32","59.26","61.45","58.75","64.82M","3.48%"
"10/30/2022","59.26","60.51","60.57","58.10","58.15M","-2.47%"
"10/23/2022","60.76","56.64","60.91","56.57","91.00M","8.58%"
"10/16/2022","55.96","55.63","56.78","54.96","67.67M","1.78%"
"10/09/2022","54.98","54.60","56.47","54.01","75.14M","0.86%"
"10/02/2022","54.51","56.36","57.81","54.25","78.14M","-2.70%"
"09/25/2022","56.02","58.49","58.57","55.91","94.67M","-4.40%"
"09/18/2022","58.60","59.39","60.70","58.00","65.23M","-1.58%"
"09/11/2022","59.54","62.43","62.81","59.11","76.39M","-4.46%"
"09/04/2022","62.32","61.29","62.88","60.99","54.52M","1.91%"
"08/28/2022","61.15","62.69","63.03","60.90","58.96M","-3.11%"
"08/21/2022","63.11","64.84","64.92","62.98","42.38M","-3.16%"
"08/14/2022","65.17","63.64","65.47","63.57","43.03M","2.31%"
"08/07/2022","63.70","63.50","63.99","62.75","43.93M","0.50%"
"07/31/2022","63.38","64.09","65.04","62.67","61.63M","-1.23%"
"07/24/2022","64.17","61.55","64.29","61.31","71.77M","4.19%"
"07/17/2022","61.59","62.52","62.65","60.79","56.39M","-1.46%"
"07/10/2022","62.50","62.99","63.46","61.30","76.98M","-1.01%"
"07/03/2022","63.14","64.18","64.18","62.42","55.52M","-1.93%"
"06/26/2022","64.38","62.98","64.45","62.10","67.78M","2.13%"
"06/19/2022","63.04","59.49","63.06","59.01","68.25M","6.07%"
"06/12/2022","59.43","60.75","62.29","58.25","117.20M","-3.22%"
"06/05/2022","61.41","63.33","63.77","60.46","71.58M","-2.48%"
"05/29/2022","62.97","64.08","64.32","62.11","86.69M","-2.64%"
"05/22/2022","64.68","61.65","65.10","61.59","84.79M","6.07%"
"05/15/2022","60.98","65.44","66.38","59.66","126.59M","-7.21%"
"05/08/2022","65.72","64.47","65.80","63.21","99.77M","1.51%"
"05/01/2022","64.74","65.28","65.31","62.58","105.58M","0.20%"
"04/24/2022","64.61","67.00","67.20","64.49","106.19M","-0.98%"
"04/17/2022","65.25","64.77","67.00","64.18","68.52M","0.35%"
"04/10/2022","65.02","63.90","65.57","63.63","59.08M","1.86%"
"04/03/2022","63.83","62.60","64.04","61.72","73.16M","1.53%"
"03/27/2022","62.87","61.53","62.95","61.21","69.31M","2.18%"
"03/20/2022","61.53","60.50","61.61","59.99","75.94M","2.38%"
"03/13/2022","60.10","57.97","60.30","57.97","99.54M","3.76%"
"03/06/2022","57.92","62.01","62.07","57.50","123.16M","-7.43%"
"02/27/2022","62.57","61.65","63.02","61.20","97.50M","-0.45%"
"02/20/2022","62.85","62.43","62.90","59.22","89.68M","0.50%"
"02/13/2022","62.54","60.16","62.82","59.28","95.98M","3.73%"
"02/06/2022","60.29","61.38","62.33","60.15","106.56M","-1.10%"
"01/30/2022","60.96","60.30","61.78","60.15","99.96M","0.20%"
"01/23/2022","60.84","59.90","60.92","58.57","106.42M","0.65%"
"01/16/2022","60.45","61.06","61.44","60.40","90.28M","-1.53%"
"01/09/2022","61.39","60.55","61.45","59.84","90.13M","1.76%"
"01/02/2022","60.33","58.82","61.19","58.38","99.05M","1.89%"
"12/26/2021","59.21","58.00","59.35","58.00","46.57M","1.70%"
"12/19/2021","58.22","57.20","58.61","57.00","60.22M","0.85%"
"12/12/2021","57.73","56.98","58.92","56.96","157.69M","2.58%"
"12/05/2021","56.28","54.31","56.32","54.14","105.48M","5.12%"
"11/28/2021","53.54","54.04","54.73","52.28","110.06M","-0.35%"
"11/21/2021","53.73","55.10","56.11","53.58","58.10M","-2.54%"
"11/14/2021","55.13","56.53","56.94","54.90","68.53M","-2.61%"
"11/07/2021","56.61","56.75","56.99","56.09","49.22M","-0.40%"
"10/31/2021","56.84","56.39","57.16","55.78","57.65M","0.83%"
"10/24/2021","56.37","54.38","56.47","54.01","88.35M","3.53%"
"10/17/2021","54.45","54.35","54.76","53.77","66.62M","-0.06%"
"10/10/2021","54.48","54.21","54.88","53.79","75.57M","0.67%"
"10/03/2021","54.12","53.06","54.39","52.40","84.99M","2.07%"
"09/26/2021","53.02","53.85","54.24","52.43","80.25M","-1.61%"
