"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2021","48.63","49.66","49.72","48.47","82.97M","-2.25%"
"08/29/2021","49.75","48.81","49.88","48.67","97.81M","1.86%"
"08/22/2021","48.84","50.51","50.60","48.73","103.47M","-3.26%"
"08/15/2021","50.48","49.89","50.86","49.33","169.12M","1.28%"
"08/08/2021","49.84","48.64","50.53","48.47","129.79M","2.96%"
"08/01/2021","48.41","47.61","48.82","47.22","100.45M","1.88%"
"07/25/2021","47.52","47.45","47.95","47.07","75.38M","0.08%"
"07/18/2021","47.48","47.14","47.66","46.59","93.96M","0.61%"
"07/11/2021","47.19","46.90","47.55","46.44","93.35M","0.90%"
"07/04/2021","46.77","46.63","47.06","46.07","80.34M","0.14%"
"06/27/2021","46.70","46.01","47.53","45.53","149.66M","1.14%"
"06/20/2021","46.18","45.22","46.29","45.12","111.36M","2.49%"
"06/13/2021","45.06","46.98","46.98","44.80","127.42M","-3.96%"
"06/06/2021","46.92","47.28","47.32","46.34","95.45M","-0.78%"
"05/30/2021","47.28","47.40","47.60","46.70","76.08M","-0.13%"
"05/23/2021","47.34","47.25","47.89","47.02","137.51M","0.20%"
"05/16/2021","47.25","46.67","48.19","46.26","166.20M","1.60%"
"05/09/2021","46.51","46.82","47.36","45.25","116.34M","-0.49%"
"05/02/2021","46.73","46.56","47.58","46.44","104.29M","0.21%"
"04/25/2021","46.64","46.64","46.67","45.85","92.56M","0.00%"
"04/18/2021","46.63","46.76","47.26","46.27","103.76M","-0.50%"
"04/11/2021","46.87","46.69","46.99","46.14","106.24M","0.59%"
"04/04/2021","46.59","45.57","47.04","45.40","131.22M","3.07%"
"03/28/2021","45.21","45.00","45.86","44.87","107.52M","0.36%"
"03/21/2021","45.04","43.67","45.07","43.66","134.14M","2.57%"
"03/14/2021","43.91","44.91","44.92","43.30","156.65M","-1.77%"
"03/07/2021","44.71","43.11","44.84","42.60","181.83M","3.87%"
"02/28/2021","43.04","43.86","44.25","42.09","185.12M","-0.62%"
"02/21/2021","43.31","45.91","46.11","43.29","185.77M","-6.09%"
"02/14/2021","46.11","48.65","49.17","45.83","187.45M","-4.24%"
"02/07/2021","48.16","48.27","48.77","47.85","76.52M","0.08%"
"01/31/2021","48.12","46.97","48.28","46.40","105.71M","2.75%"
"01/24/2021","46.83","48.45","49.29","46.78","118.78M","-3.99%"
"01/17/2021","48.78","48.21","49.11","47.56","81.47M","1.17%"
"01/10/2021","48.21","48.67","49.98","47.89","124.73M","-1.36%"
"01/03/2021","48.88","48.10","49.37","48.09","125.62M","1.72%"
"12/27/2020","48.05","48.01","48.61","47.62","73.85M","0.45%"
"12/20/2020","47.83","48.50","48.89","47.43","92.70M","-1.68%"
"12/13/2020","48.65","49.23","49.24","48.29","154.70M","-0.71%"
"12/06/2020","49.00","49.49","50.00","48.65","96.85M","-1.28%"
"11/29/2020","49.64","50.53","51.22","49.19","125.80M","-1.77%"
"11/22/2020","50.53","50.12","50.91","49.79","60.56M","0.91%"
"11/15/2020","50.08","50.18","51.13","49.68","142.76M","-0.20%"
"11/08/2020","50.18","49.33","50.31","47.83","97.59M","3.27%"
"11/01/2020","48.59","46.86","48.74","46.34","80.32M","5.06%"
"10/25/2020","46.25","47.61","47.90","45.79","78.55M","-3.55%"
"10/18/2020","47.95","48.37","48.58","47.56","66.18M","-0.59%"
"10/11/2020","48.24","47.67","48.87","47.61","92.57M","1.35%"
"10/04/2020","47.59","47.10","47.78","46.75","81.86M","1.62%"
"09/27/2020","46.83","45.72","48.13","45.46","151.62M","2.35%"
"09/20/2020","45.76","45.50","46.41","45.02","155.58M","1.46%"
